customer_country                                   total_rental_sales                      SalesRank
LILLIAN GRIFFIN                                                                             106.75                                  25              active        United Arab Emirates                               al-Ayn
ERIN DUNN                                                                                   106.73                                  27              active        Russian Federation                                 Ljubertsy
BOBBY BOUDREAU                                                                              106.65                                  35              active        Anguilla                                           South Hill
FREDERICK ISBELL                                                                            105.79                                  21              active        Japan                                              Tsuyama
DANIELLE DANIELS                                                                            105.75                                  25              active        Mexico                                             Hidalgo
BRAD MCCURDY                                                                                105.75                                  25              active        Taiwan                                             Chungho
THOMAS GRIGSBY                                                                              105.75                                  25              active        United States                                      Kansas City
VINCENT RALSTON                                                                             105.75                                  25              active        Mexico                                             Allende
DIANA ALEXANDER                                                                             105.73                                  27              active        United States                                      Augusta-Richmond County
JIMMY SCHRADER                                                                              105.71                                  29              active        Russian Federation                                 Atinsk
STELLA MORENO                                                                               104.78                                  22              active        Mexico                                             Coacalco de Berriozbal
LEO EBERT                                                                                   104.77                                  23              active        China                                              Dongying
RODNEY MOELLER                                                                              104.77                                  23              active        Nigeria                                            Deba Habe
LEAH CURTIS                                                                                 104.75                                  25              active        Poland                                             Kalisz
BRENDA WRIGHT                                                                               104.74                                  26              active        India                                              Kamarhati
MARK RINEHART                                                                               104.74                                  26              active        Saudi Arabia                                       Tabuk
FRANCIS SIKES                                                                               104.74                                  26              active        Mexico                                             San Juan Bautista Tuxtepec
CLARENCE GAMEZ                                                                              104.70                                  30              active        Japan                                              Izumisano
ROSE HOWARD                                                                                 103.78                                  22              active        French Guiana                                      Cayenne
BRUCE SCHWARZ                                                                               103.77                                  23              active        Japan                                              Okinawa
RON DELUCA                                                                                  103.77                                  23              active        Japan                                              Isesaki
PEDRO CHESTNUT                                                                              103.76                                  24              active        Ukraine                                            ostka
CLINTON BUFORD                                                                              103.75                                  25              active        United States                                      Aurora
GARY COY                                                                                    103.75                                  25              active        China                                              Yuzhou
KELLY KNOTT                                                                                 103.75                                  25              active        China                                              Sanya
BETH FRANKLIN                                                                               103.75                                  25              active        Vietnam                                            Haiphong
CARLA GUTIERREZ                                                                             103.74                                  26              active        India                                              Bhusawal
DENISE KELLY                                                                                103.73                                  27              active        Brazil                                             Rio Claro
MARTIN BALES                                                                                103.73                                  27              active        Angola                                             Namibe
JENNY CASTRO                                                                                103.73                                  27              active        Puerto Rico                                        Ponce
JEREMY HURTADO                                                                              103.72                                  28              active        Brazil                                             Vitria de Santo Anto
NANCY THOMAS                                                                                103.72                                  28              active        India                                              Yamuna Nagar
ROBIN HAYES                                                                                 102.76                                  24              active        Russian Federation                                 Jelets
MICHEAL FORMAN                                                                              102.74                                  26              active        Argentina                                          Escobar
COREY HAUSER                                                                                101.78                                  22              active        Turkey                                             Gaziantep
ADAM GOOCH                                                                                  101.78                                  22              active        India                                              Adoni
DWAYNE OLVERA                                                                               101.78                                  22              active        India                                              Rajkot
BERTHA FERGUSON                                                                             101.75                                  25              active        Nigeria                                            Ondo
WILLIE MARKHAM                                                                              101.75                                  25              active        Argentina                                          Almirante Brown
LOUISE JENKINS                                                                              101.75                                  25              active        South Africa                                       Springs
ERIKA PENA                                                                                  101.74                                  26              active        Finland                                            Oulu
JESSE SCHILLING                                                                             101.74                                  26              active        Congo, The Democratic Republic of the              Lubumbashi
WILLIE HOWELL                                                                               101.74                                  26              active        Argentina                                          Vicente Lpez
PHILLIP HOLM                                                                                101.74                                  26              active        Japan                                              Tama
RAUL FORTIER                                                                                100.80                                  20              active        India                                              Chapra
DORIS REED                                                                                  100.78                                  22              active        Russian Federation                                 Balaiha
CONNIE WALLACE                                                                              100.77                                  23              active        Russian Federation                                 Ivanovo
SHANNON FREEMAN                                                                             100.76                                  24              active        India                                              Varanasi (Benares)
RONNIE RICKETTS                                                                             100.75                                  25              active        Senegal                                            Ziguinchor
DUSTIN GILLETTE                                                                             100.74                                  26              active        Netherlands                                        Emmen
WILLIAM SATTERFIELD                                                                         100.74                                  26              active        Yemen                                              Sanaa
JANE BENNETT                                                                                100.72                                  28              active        Brazil                                             Araatuba
LAWRENCE LAWTON                                                                             100.69                                  31              active        Cameroon                                           Yaound
JUDITH COX                                                                                  100.67                                  33              not active    China                                              Daxian
OSCAR AQUINO                                                                                99.80                                   20              active        Iran                                               Sirjan
RICARDO MEADOR                                                                              99.79                                   21              active        Japan                                              Okayama
KELLY TORRES                                                                                99.78                                   22              active        China                                              Xiangtan
KURT EMMONS                                                                                 99.77                                   23              active        Japan                                              Kanazawa
ALBERT CROUSE                                                                               99.77                                   23              active        Cameroon                                           Bamenda
RANDALL NEUMANN                                                                             99.77                                   23              active        Dominican Republic                                 La Romana
LAURIE LAWRENCE                                                                             99.77                                   23              active        India                                              Firozabad
CHRISTINE ROBERTS                                                                           99.76                                   24              active        French Polynesia                                   Faaa
CHESTER BENNER                                                                              99.76                                   24              active        China                                              Suihua
FREDDIE DUGGAN                                                                              99.75                                   25              active        Peru                                               Sullana
DOROTHY TAYLOR                                                                              99.75                                   25              active        Iran                                               Esfahan
IVAN CROMWELL                                                                               99.74                                   26              active        Mexico                                             Monclova
ROSS GREY                                                                                   99.73                                   27              active        Philippines                                        Iligan
THERESA WATSON                                                                              99.70                                   30              active        Philippines                                        Taguig
KAY CALDWELL                                                                                98.80                                   20              active        China                                              Yantai
DONNA THOMPSON                                                                              98.79                                   21              active        Russian Federation                                 Elista
CODY NOLEN                                                                                  98.78                                   22              active        Brazil                                             So Bernardo do Campo
FRANCISCO SKIDMORE                                                                          98.78                                   22              active        Brazil                                             So Leopoldo
AGNES BISHOP                                                                                98.77                                   23              active        India                                              Sambhal
STACY CUNNINGHAM                                                                            98.77                                   23              active        Colombia                                           Pereira
ANNETTE OLSON                                                                               98.76                                   24              active        India                                              Allappuzha (Alleppey)
MILDRED BAILEY                                                                              98.75                                   25              active        India                                              Jaipur
GWENDOLYN MAY                                                                               98.75                                   25              active        Japan                                              Higashiosaka
ELMER NOE                                                                                   98.74                                   26              active        Cambodia                                           Battambang
PAULINE HENRY                                                                               98.73                                   27              active        Mexico                                             Torren
DANIEL CABRAL                                                                               97.80                                   20              active        Brazil                                             Ibirit
RAFAEL ABNEY                                                                                97.79                                   21              active        Philippines                                        Talavera
BEVERLY BROOKS                                                                              97.76                                   24              active        Taiwan                                             Chiayi
CARMEN OWENS                                                                                97.74                                   26              active        Venezuela                                          Caracas
MELVIN ELLINGTON                                                                            97.74                                   26              active        China                                              Laohekou
RENEE LANE                                                                                  97.74                                   26              active        United States                                      Compton
GENE SANBORN                                                                                97.73                                   27              active        Oman                                               Salala
DEREK BLAKELY                                                                               97.72                                   28              active        Philippines                                        Gingoog
WILLARD LUMPKIN                                                                             96.78                                   22              active        Mexico                                             Carmen
PEGGY MYERS                                                                                 96.76                                   24              active        Saudi Arabia                                       Abha
JUDY GRAY                                                                                   96.75                                   25              active        Algeria                                            Bchar
JOSE ANDREW                                                                                 96.75                                   25              active        Saint Vincent and the Grenadines                   Kingstown
CLAYTON BARBEE                                                                              96.74                                   26              active        Brazil                                             Alvorada
IAN STILL                                                                                   96.73                                   27              active        United States                                      Garland
ENRIQUE FORSYTHE                                                                            96.72                                   28              active        Greece                                             Patras
DERRICK BOURQUE                                                                             95.78                                   22              active        Canada                                             Gatineau
SHANE MILLARD                                                                               95.78                                   22              active        Mexico                                             La Paz
ERICA MATTHEWS                                                                              95.78                                   22              not active    China                                              Pingxiang
JOEL FRANCISCO                                                                              95.77                                   23              active        Bolivia                                            Sucre
NATALIE MEYER                                                                               95.77                                   23              active        Brazil                                             Aparecida de Goinia
PAMELA BAKER                                                                                95.77                                   23              active        China                                              Nanyang
TONI HOLT                                                                                   95.77                                   23              active        United States                                      Roanoke
BENJAMIN VARNEY                                                                             95.77                                   23              active        Mexico                                             Guadalajara
EDGAR RHOADS                                                                                95.75                                   25              active        Turkey                                             Eskisehir
KIMBERLY LEE                                                                                95.75                                   25              active        Argentina                                          Crdoba
CONSTANCE REID                                                                              95.75                                   25              active        Nigeria                                            Zaria
ESTHER CRAWFORD                                                                             95.72                                   28              active        South Africa                                       Botshabelo
LONNIE TIRADO                                                                               94.82                                   18              active        Indonesia                                          Pangkal Pinang
NELLIE GARRETT                                                                              94.79                                   21              active        India                                              Shimoga
NICOLE PETERSON                                                                             94.78                                   22              active        India                                              Shivapuri
EMMA BOYD                                                                                   94.77                                   23              active        Egypt                                              Qalyub
SUZANNE NICHOLS                                                                             94.76                                   24              active        Indonesia                                          Jakarta
SCOTT SHELLEY                                                                               94.75                                   25              active        United States                                      Aurora
APRIL BURNS                                                                                 94.74                                   26              active        United Kingdom                                     Dundee
HARVEY GUAJARDO                                                                             93.78                                   22              active        Vietnam                                            Vinh
ANDREA HENDERSON                                                                            93.78                                   22              active        Madagascar                                         Mahajanga
LORETTA CARPENTER                                                                           93.78                                   22              active        Canada                                             Oshawa
GLENN PULLEN                                                                                93.77                                   23              active        Netherlands                                        Amersfoort
CHARLOTTE HUNTER                                                                            93.76                                   24              active        Brazil                                             guas Lindas de Gois
JACKIE LYNCH                                                                                93.75                                   25              active        Colombia                                           Buenaventura
TAMARA NGUYEN                                                                               93.75                                   25              active        Brazil                                             Anpolis
HOWARD FORTNER                                                                              93.74                                   26              active        Iran                                               Kermanshah
JENNIFER DAVIS                                                                              93.72                                   28              active        United States                                      Laredo
YVONNE WATKINS                                                                              92.79                                   21              active        Venezuela                                          Ocumare del Tuy
ROBERT BAUGHMAN                                                                             92.79                                   21              active        Russian Federation                                 Kaliningrad
RITA GRAHAM                                                                                 92.76                                   24              active        France                                             Toulon
SUSAN WILSON                                                                                92.76                                   24              active        New Zealand                                        Hamilton
MELANIE ARMSTRONG                                                                           92.75                                   25              active        Philippines                                        Bayugan
MEGAN PALMER                                                                                92.73                                   27              active        China                                              Laiwu
ALLISON STANLEY                                                                             92.73                                   27              active        Cambodia                                           Phnom Penh
KATHLEEN ADAMS                                                                              92.73                                   27              active        Iran                                               Arak
WILMA RICHARDS                                                                              91.80                                   20              active        United States                                      Bellevue
DANNY ISOM                                                                                  91.79                                   21              active        Pakistan                                           Okara
ANNA HILL                                                                                   91.79                                   21              active        Italy                                              Alessandria
DELORES HANSEN                                                                              91.79                                   21              active        Russian Federation                                 Jaroslavl
CAROL GARCIA                                                                                91.78                                   22              active        Nigeria                                            Kaduna
TIMOTHY BUNN                                                                                91.78                                   22              active        Brazil                                             Braslia
PHYLLIS FOSTER                                                                              91.77                                   23              active        China                                              Zalantun
SEAN DOUGLASS                                                                               91.77                                   23              active        Ethiopia                                           Addis Abeba
EMILY DIAZ                                                                                  91.76                                   24              active        South Korea                                        Kimchon
BOB PFEIFFER                                                                                91.76                                   24              active        China                                              Xintai
VICTOR BARKLEY                                                                              91.76                                   24              active        United States                                      Manchester
RICKY SHELBY                                                                                91.75                                   25              active        China                                              Junan
DARRELL POWER                                                                               91.75                                   25              active        Canada                                             Halifax
LUCY WHEELER                                                                                91.74                                   26              active        India                                              Balurghat
JESSIE BANKS                                                                                91.74                                   26              active        Bulgaria                                           Stara Zagora
WENDY HARRISON                                                                              91.70                                   30              active        Mexico                                             Nezahualcyotl
HUGH WALDROP                                                                                90.79                                   21              active        China                                              Haining
MATHEW BOLIN                                                                                90.78                                   22              active        Venezuela                                          Valencia
JEFFREY SPEAR                                                                               90.77                                   23              active        Indonesia                                          Ciparay
VIVIAN RUIZ                                                                                 90.77                                   23              active        Netherlands                                        s-Hertogenbosch
JULIO NOLAND                                                                                89.79                                   21              active        Ukraine                                            Konotop
RUBEN GEARY                                                                                 89.79                                   21              active        Poland                                             Lublin
LESLIE GORDON                                                                               89.78                                   22              active        Turkey                                             Kilis
MARGARET MOORE                                                                              89.77                                   23              active        Oman                                               Masqat
DONALD MAHON                                                                                89.77                                   23              active        China                                              Ezhou
LILLIE KIM                                                                                  89.77                                   23              active        Egypt                                              Idfu
REBECCA SCOTT                                                                               89.76                                   24              active        Japan                                              Kurashiki
JACK FOUST                                                                                  89.76                                   24              active        Russian Federation                                 Zeleznogorsk
ERNEST STEPP                                                                                89.75                                   25              active        China                                              Huaian
CHAD CARBONE                                                                                89.75                                   25              active        India                                              Katihar
KEITH RICO                                                                                  89.74                                   26              active        Slovakia                                           Bratislava
JAY ROBB                                                                                    89.74                                   26              active        Indonesia                                          Surakarta
VERNON CHAPA                                                                                88.82                                   18              active        Turkey                                             Denizli
TARA RYAN                                                                                   88.80                                   20              active        Indonesia                                          Gorontalo
TYLER WREN                                                                                  88.79                                   21              active        China                                              Rizhao
BERNARD COLBY                                                                               88.78                                   22              active        India                                              Dhule (Dhulia)
CHRISTIAN JUNG                                                                              88.76                                   24              not active    India                                              Amroha
FRED WHEAT                                                                                  88.75                                   25              active        Mexico                                             Jurez
BILLIE HORTON                                                                               88.74                                   26              active        Turkey                                             Inegl
KRISTEN CHAVEZ                                                                              87.82                                   18              active        Japan                                              Hino
JARED ELY                                                                                   87.81                                   19              active        Indonesia                                          Purwakarta
BONNIE HUGHES                                                                               87.79                                   21              active        South Korea                                        Cheju
MAUREEN LITTLE                                                                              87.79                                   21              active        Paraguay                                           Asuncin
ANNE POWELL                                                                                 87.77                                   23              active        United Kingdom                                     Bradford
JON WILES                                                                                   87.76                                   24              active        Bolivia                                            El Alto
COLLEEN BURTON                                                                              87.76                                   24              active        Germany                                            Saarbrcken
VANESSA SIMS                                                                                86.81                                   19              active        Germany                                            Siegen
LEWIS LYMAN                                                                                 86.81                                   19              active        Israel                                             Ashqelon
LORRAINE STEPHENS                                                                           86.79                                   21              active        China                                              Hami
FELICIA SUTTON                                                                              86.72                                   28              active        China                                              Korla
ALFREDO MCADAMS                                                                             85.80                                   20              active        Russian Federation                                 Serpuhov
ALLEN BUTTERFIELD                                                                           85.79                                   21              active        India                                              Hoshiarpur
KENNETH GOODEN                                                                              84.83                                   17              not active    Israel                                             Bat Yam
RACHEL BARNES                                                                               84.78                                   22              active        Japan                                              Kamakura
CHRIS BROTHERS                                                                              84.78                                   22              active        Spain                                              Gijn
JOAN COOPER                                                                                 84.77                                   23              active        United States                                      Saint Louis
ROBERTA HARPER                                                                              84.77                                   23              active        Iran                                               Shahr-e Kord
EVA RAMOS                                                                                   83.82                                   18              active        United States                                      Clarksville
AUSTIN CINTRON                                                                              83.81                                   19              active        China                                              Tieli
ARMANDO GRUBER                                                                              83.79                                   21              active        United Kingdom                                     Southport
ALICIA MILLS                                                                                83.79                                   21              active        India                                              Nagaon
WADE DELVALLE                                                                               83.78                                   22              active        Switzerland                                        Lausanne
KIM CRUZ                                                                                    82.79                                   21              active        United States                                      Grand Prairie
LANCE PEMBERTON                                                                             82.78                                   22              active        Morocco                                            Beni-Mellal
LYDIA BURKE                                                                                 82.76                                   24              active        Argentina                                          San Miguel de Tucumn
BARBARA JONES                                                                               81.78                                   22              active        Myanmar                                            Myingyan
CORY MEEHAN                                                                                 81.76                                   24              active        Belarus                                            Mogiljov
MELINDA FERNANDEZ                                                                           80.83                                   17              active        Pakistan                                           Mandi Bahauddin
EILEEN CARR                                                                                 80.82                                   18              active        Paraguay                                           Ciudad del Este
CHRISTINA RAMIREZ                                                                           80.82                                   18              active        Saudi Arabia                                       al-Hawiya
SAMUEL MARLOW                                                                               80.79                                   21              active        India                                              Ranchi
ROLAND SOUTH                                                                                80.77                                   23              active        China                                              Yingkou
BOBBIE CRAIG                                                                                80.76                                   24              active        Mexico                                             Valle de Santiago
